Rank,Animal,Total Stats,Champion Count,Champion Rate
1,大白鯊,32,9714,9.71%
2,北極熊,31,7932,7.93%
3,河馬,31,6662,6.66%
4,犀牛,31,6466,6.47%
5,藍鯨,31,6335,6.33%
6,非洲獅,30,5983,5.98%
7,鬣狗,29,4782,4.78%
8,大猩猩,30,4766,4.77%
9,灰狼,29,4504,4.50%
10,非洲象,30,4424,4.42%
11,美洲野牛,29,4246,4.25%
12,花豹,29,4123,4.12%
13,灣鱷,29,3414,3.41%
14,山豬,28,3355,3.36%
15,蜜獾,28,3309,3.31%
16,狼獾,28,3181,3.18%
17,蘇門答臘虎,28,2823,2.82%
18,麝牛,27,2060,2.06%
19,犛牛,27,1989,1.99%
20,科摩多龍,26,1370,1.37%
21,海豚,26,1317,1.32%
22,麋鹿,26,1314,1.31%
23,長頸鹿,26,1300,1.30%
24,獵豹,25,854,0.85%
25,蟒蛇,24,684,0.68%
26,北極狐,24,551,0.55%
27,駱駝,24,542,0.54%
28,非洲野犬,23,380,0.38%
29,長臂猿,23,363,0.36%
30,水鹿,23,281,0.28%
31,紅袋鼠,23,263,0.26%
32,疣豬,23,221,0.22%
33,遊隼,21,147,0.15%
34,人,19,82,0.08%
35,黑斑羚,19,48,0.05%
36,食蟻獸,19,41,0.04%
37,貓頭鷹,19,31,0.03%
38,黃鼠狼,18,30,0.03%
39,豪豬,18,25,0.03%
40,穿山甲,17,21,0.02%
41,加拉巴哥象龜,16,19,0.02%
42,狐獴,17,16,0.02%
43,鴨嘴獸,18,15,0.01%
44,大耳狐,17,8,0.01%
45,鵜鶘,17,5,0.01%
46,丹頂鶴,17,3,0.00%
47,火雞,13,1,0.00%
48,樹懶,13,0,0.00%
