Rank,Animal,Win Rate
1,非洲獅,59.5%
2,大猩猩,59.1%
3,非洲象,58.5%
4,蜜獾,55.8%
5,蘇門答臘虎,55.1%
6,海豚,54.6%
7,灣鱷,54.1%
8,科摩多龍,51.7%
9,獵豹,50.4%
10,北極狐,47.9%
11,紅袋鼠,44.9%
12,加拉巴哥象龜,42.8%
13,遊隼,42.1%
14,貓頭鷹,41.2%
15,穿山甲,41.2%
16,黑斑羚,41.0%
