,非洲獅,非洲象,大猩猩,灣鱷,蜜獾,蘇門答臘虎,海豚,科摩多龍,獵豹,北極狐,紅袋鼠,遊隼,黑斑羚,貓頭鷹,穿山甲,加拉巴哥象龜,非洲野犬,鬣狗,疣豬,山豬,駱駝,豪豬,火雞,美洲野牛,犛牛,大耳狐,水鹿,麋鹿,狐獴,黃鼠狼,長臂猿,食蟻獸,鴨嘴獸,樹懶,藍鯨,大白鯊,河馬,北極熊,犀牛,花豹,灰狼,狼獾,麝牛,長頸鹿,蟒蛇,人,鵜鶘,丹頂鶴,虎鯨,鴕鳥,雪豹,白頭海鵰,電鰻,雪鴞,乳牛,擬態章魚,海獺,浣熊,蠍子,皇帝企鵝,犰狳,孔雀,箭毒蛙,蘭花螳螂
豪豬,15.1%,19.2%,16.9%,21.2%,16.9%,19.1%,21.9%,22.7%,26.1%,25.3%,27.4%,38.0%,41.1%,40.3%,59.1%,63.8%,31.5%,16.0%,29.7%,14.8%,25.6%,-,65.3%,17.1%,20.7%,51.3%,27.7%,21.3%,53.0%,47.5%,29.3%,38.9%,40.9%,67.1%,17.3%,12.4%,14.7%,14.5%,17.2%,17.1%,15.6%,17.0%,19.8%,21.7%,33.6%,47.2%,43.7%,49.6%,5.7%,25.5%,27.3%,29.8%,28.9%,38.0%,34.8%,37.0%,34.5%,40.8%,49.5%,43.8%,56.5%,58.0%,67.4%,78.8%
火雞,1.9%,8.8%,2.3%,9.7%,2.5%,2.7%,5.8%,4.6%,9.1%,8.0%,6.0%,23.1%,25.9%,20.1%,47.8%,53.9%,12.1%,1.4%,4.5%,1.6%,6.3%,34.7%,-,3.5%,4.9%,32.1%,6.3%,4.0%,37.3%,31.0%,12.4%,16.2%,18.7%,54.1%,6.3%,1.8%,3.5%,1.3%,6.6%,3.0%,2.0%,1.9%,3.4%,3.9%,16.7%,33.7%,22.9%,28.3%,0.5%,7.7%,6.3%,11.2%,8.9%,18.9%,15.7%,20.4%,15.0%,22.1%,33.6%,22.2%,43.3%,41.4%,56.1%,70.1%
美洲野牛,47.0%,46.5%,45.2%,49.6%,55.3%,54.1%,62.3%,63.5%,65.9%,69.2%,75.7%,74.8%,81.5%,85.3%,81.8%,82.4%,72.7%,50.4%,78.5%,54.8%,70.8%,82.9%,96.5%,-,58.7%,87.8%,75.8%,62.2%,84.7%,84.6%,71.5%,87.2%,89.8%,94.4%,43.7%,38.5%,42.6%,42.7%,42.9%,49.2%,49.8%,55.1%,59.4%,63.7%,66.0%,78.6%,91.6%,89.7%,17.3%,69.3%,76.5%,72.0%,78.8%,76.5%,79.0%,79.7%,82.6%,83.8%,83.5%,91.8%,88.0%,95.5%,89.2%,96.6%
犛牛,36.9%,40.0%,37.6%,43.7%,44.7%,44.8%,53.4%,52.6%,58.3%,61.6%,66.0%,68.6%,77.5%,78.2%,77.9%,78.2%,63.3%,39.6%,66.2%,43.8%,60.5%,79.3%,95.1%,41.3%,-,83.3%,65.8%,51.3%,80.3%,78.9%,63.9%,79.9%,84.6%,92.7%,38.0%,30.9%,36.7%,34.3%,38.3%,40.9%,40.4%,44.0%,48.8%,52.4%,59.1%,74.7%,87.0%,84.6%,13.7%,61.2%,65.8%,63.5%,71.2%,69.8%,71.1%,75.6%,76.4%,79.4%,78.6%,87.3%,83.3%,93.9%,85.0%,95.3%
大耳狐,8.9%,15.4%,10.4%,17.3%,10.7%,12.4%,19.5%,16.9%,24.8%,25.6%,22.8%,37.4%,43.2%,41.2%,55.8%,60.4%,26.3%,9.0%,20.1%,8.2%,21.8%,48.7%,67.9%,12.2%,16.7%,-,23.3%,15.2%,52.3%,47.3%,28.3%,39.0%,44.6%,68.3%,14.4%,7.2%,12.2%,8.3%,14.4%,10.9%,9.3%,9.7%,14.0%,15.4%,29.4%,46.8%,47.4%,48.4%,2.4%,24.0%,22.3%,26.7%,28.7%,34.1%,34.3%,40.6%,38.0%,42.3%,47.9%,47.3%,56.6%,62.5%,64.8%,78.3%
水鹿,18.5%,26.6%,23.2%,29.5%,23.0%,28.3%,37.6%,34.9%,45.1%,47.0%,49.0%,58.5%,69.0%,70.3%,69.8%,72.7%,49.3%,16.6%,48.5%,18.5%,43.9%,72.3%,93.7%,24.2%,34.2%,76.7%,-,31.9%,73.1%,70.0%,50.8%,72.0%,79.0%,89.7%,26.7%,15.6%,22.3%,14.5%,27.2%,23.6%,19.7%,19.8%,32.5%,33.4%,47.9%,66.8%,81.5%,79.2%,3.7%,45.4%,49.6%,49.6%,57.9%,58.5%,61.7%,65.8%,66.5%,70.9%,70.6%,82.2%,78.1%,91.3%,81.2%,94.2%
麋鹿,32.7%,37.5%,33.6%,41.1%,40.9%,42.5%,52.1%,52.0%,56.9%,59.9%,68.3%,66.8%,76.9%,81.0%,76.6%,77.6%,64.6%,34.0%,70.1%,37.5%,60.3%,78.7%,96.0%,37.8%,48.7%,84.8%,68.2%,-,80.7%,80.4%,63.7%,83.4%,88.3%,93.2%,33.5%,25.2%,31.5%,28.0%,33.9%,35.7%,35.4%,39.9%,46.7%,51.1%,58.7%,73.8%,90.2%,86.7%,7.5%,61.0%,68.1%,63.8%,73.4%,71.5%,73.1%,75.0%,77.7%,79.2%,78.9%,89.8%,84.3%,94.8%,86.8%,95.6%
狐獴,12.1%,18.4%,13.1%,20.0%,14.1%,15.5%,21.9%,20.8%,26.3%,28.0%,26.3%,37.1%,43.8%,40.4%,51.6%,56.5%,28.1%,11.2%,23.3%,13.4%,25.1%,47.0%,62.7%,15.3%,19.7%,47.7%,26.9%,19.3%,-,47.3%,30.4%,40.3%,44.2%,63.7%,16.4%,10.4%,14.7%,10.4%,16.5%,14.7%,12.5%,13.4%,17.2%,19.4%,29.0%,45.3%,47.3%,47.2%,3.6%,26.4%,26.1%,28.1%,31.3%,35.9%,35.9%,40.6%,39.1%,43.2%,46.7%,47.6%,53.7%,58.3%,62.0%,71.4%
黃鼠狼,12.6%,18.8%,13.5%,20.2%,15.4%,16.1%,23.1%,21.8%,27.9%,28.4%,27.8%,40.5%,47.5%,45.4%,57.0%,61.5%,31.7%,12.7%,26.6%,12.1%,26.5%,52.4%,69.0%,15.4%,21.1%,52.7%,30.0%,19.6%,52.7%,-,31.7%,43.5%,47.9%,69.3%,16.5%,9.9%,15.0%,12.3%,16.7%,15.3%,13.0%,15.4%,18.3%,20.1%,33.4%,48.6%,51.5%,53.2%,3.9%,27.7%,28.0%,31.3%,33.6%,38.5%,38.3%,44.1%,41.2%,45.6%,51.0%,51.8%,58.3%,65.1%,66.7%,76.8%
長臂猿,24.5%,29.5%,26.7%,32.5%,29.4%,32.3%,37.6%,38.0%,43.6%,46.3%,48.7%,57.5%,66.6%,64.2%,70.8%,72.1%,49.5%,26.3%,49.7%,26.0%,44.8%,70.7%,87.6%,28.5%,36.1%,71.7%,49.2%,36.3%,69.6%,68.3%,-,64.9%,70.2%,85.7%,27.7%,19.2%,24.0%,23.7%,27.6%,27.6%,25.9%,29.1%,34.0%,37.4%,47.1%,64.9%,73.4%,72.0%,7.9%,45.6%,48.3%,48.9%,52.9%,56.7%,58.3%,61.4%,62.2%,66.1%,66.7%,73.7%,75.4%,84.8%,79.7%,91.0%
食蟻獸,8.6%,18.4%,12.3%,20.3%,9.8%,13.9%,23.2%,19.7%,29.8%,29.2%,27.3%,44.1%,56.5%,51.2%,62.4%,65.8%,31.8%,7.6%,23.0%,7.0%,25.9%,61.1%,83.9%,12.7%,20.1%,61.0%,27.9%,16.6%,59.7%,56.5%,35.1%,-,59.3%,80.5%,17.2%,7.2%,13.1%,5.6%,17.4%,12.2%,9.2%,7.6%,15.2%,16.7%,34.3%,56.3%,63.0%,61.4%,1.7%,29.3%,26.5%,31.4%,36.3%,42.8%,43.0%,51.1%,48.3%,53.6%,55.4%,62.5%,67.0%,79.5%,72.5%,87.8%
鴨嘴獸,6.7%,16.4%,8.1%,19.1%,7.3%,8.8%,18.5%,14.2%,24.1%,25.8%,19.2%,40.2%,54.1%,45.0%,61.9%,63.8%,26.7%,5.7%,13.5%,6.1%,20.6%,59.1%,81.3%,10.2%,15.4%,55.4%,21.0%,11.7%,55.8%,52.1%,29.8%,40.7%,-,77.9%,15.2%,5.4%,11.9%,5.2%,15.4%,9.6%,6.8%,6.5%,10.7%,12.3%,29.4%,54.1%,54.9%,55.8%,2.2%,23.2%,18.8%,27.1%,29.2%,37.5%,37.5%,48.2%,40.8%,48.5%,51.6%,55.9%,64.2%,76.5%,69.0%,87.2%
樹懶,4.2%,9.2%,5.2%,10.7%,4.8%,5.9%,8.9%,8.0%,11.8%,11.4%,10.4%,23.7%,26.3%,22.4%,43.1%,49.6%,14.8%,4.4%,9.5%,3.7%,10.8%,32.9%,45.9%,5.6%,7.3%,31.7%,10.3%,6.8%,36.3%,30.7%,14.3%,19.6%,22.1%,-,7.9%,3.4%,5.3%,3.9%,7.8%,5.7%,4.5%,4.5%,6.6%,7.6%,16.9%,31.9%,24.7%,28.3%,1.5%,11.5%,9.9%,14.4%,12.5%,20.2%,17.9%,22.5%,19.0%,23.2%,33.0%,24.7%,40.0%,38.6%,51.4%,60.6%
藍鯨,53.1%,52.7%,53.2%,55.3%,60.9%,59.5%,65.3%,65.8%,67.9%,69.9%,74.6%,74.8%,81.8%,82.5%,82.1%,82.5%,71.9%,57.0%,76.7%,60.3%,71.1%,82.7%,93.7%,56.3%,62.0%,85.6%,73.3%,66.5%,83.6%,83.5%,72.3%,82.8%,84.8%,92.1%,-,47.4%,48.9%,51.0%,50.1%,55.6%,57.1%,61.5%,63.0%,65.9%,69.4%,79.0%,87.5%,85.9%,30.0%,70.7%,75.8%,72.5%,76.1%,77.1%,77.7%,78.3%,80.2%,81.6%,81.6%,87.2%,86.5%,92.1%,88.5%,95.3%
大白鯊,58.5%,54.8%,57.4%,58.2%,68.1%,66.2%,72.2%,72.8%,73.7%,78.8%,85.2%,82.0%,87.0%,91.1%,86.1%,85.8%,80.4%,62.8%,86.9%,68.4%,80.1%,87.5%,98.2%,61.5%,69.1%,92.8%,84.4%,74.8%,89.6%,90.1%,80.8%,92.8%,94.6%,96.6%,52.6%,-,52.3%,54.5%,52.3%,60.8%,63.4%,68.6%,70.9%,73.7%,73.9%,83.9%,96.2%,94.7%,25.2%,78.9%,86.0%,81.2%,87.1%,84.5%,86.6%,86.0%,89.1%,89.5%,88.9%,96.2%,90.8%,97.6%,92.0%,97.9%
河馬,54.4%,53.6%,52.1%,55.9%,62.5%,60.9%,66.4%,67.9%,68.8%,73.4%,78.5%,78.6%,85.3%,86.0%,84.5%,84.9%,74.9%,56.5%,79.1%,62.8%,74.0%,85.3%,96.5%,57.4%,63.3%,87.9%,77.7%,68.5%,85.3%,85.0%,76.0%,86.9%,88.1%,94.7%,51.1%,47.7%,-,51.6%,50.3%,56.2%,57.6%,63.2%,64.5%,68.2%,70.5%,80.0%,91.1%,90.0%,26.6%,73.0%,78.1%,74.6%,79.5%,78.6%,80.8%,82.1%,83.3%,85.2%,84.0%,90.6%,88.6%,95.4%,88.6%,96.3%
北極熊,53.1%,49.6%,54.8%,54.3%,64.2%,63.9%,67.6%,72.5%,72.0%,75.4%,83.9%,79.6%,84.0%,90.1%,83.8%,85.2%,78.6%,59.4%,90.8%,60.7%,78.1%,85.5%,98.7%,57.3%,65.7%,91.6%,85.5%,72.0%,89.6%,87.7%,76.3%,94.4%,94.8%,96.1%,49.0%,45.5%,48.4%,-,48.1%,57.3%,57.1%,63.0%,66.4%,71.7%,74.7%,82.6%,96.6%,95.2%,20.8%,75.2%,85.3%,79.8%,83.8%,84.5%,85.0%,84.1%,87.0%,88.0%,88.6%,96.5%,90.9%,97.5%,92.4%,97.7%
犀牛,53.8%,52.8%,52.6%,55.7%,60.3%,58.8%,63.8%,65.9%,68.1%,70.3%,75.5%,75.6%,81.3%,82.3%,81.7%,82.8%,73.0%,57.1%,76.3%,60.1%,71.1%,82.8%,93.4%,57.1%,61.7%,85.6%,72.8%,66.1%,83.5%,83.3%,72.4%,82.6%,84.6%,92.2%,49.9%,47.7%,49.7%,51.9%,-,57.2%,57.4%,60.9%,63.0%,65.7%,68.6%,78.4%,87.5%,86.8%,29.4%,71.0%,75.9%,72.3%,76.2%,77.6%,77.6%,78.4%,80.0%,81.8%,82.4%,87.9%,86.0%,92.1%,88.2%,95.2%
花豹,46.7%,47.2%,46.9%,48.8%,57.3%,56.2%,62.0%,63.8%,65.8%,68.6%,76.8%,74.8%,81.7%,86.3%,81.9%,82.0%,72.5%,51.4%,79.7%,55.8%,70.9%,82.9%,97.0%,50.8%,59.1%,89.1%,76.4%,64.3%,85.3%,84.7%,72.4%,87.8%,90.4%,94.3%,44.4%,39.2%,43.8%,42.7%,42.8%,-,50.1%,56.4%,59.9%,64.1%,66.8%,79.1%,92.5%,90.5%,16.8%,71.2%,77.0%,73.5%,79.3%,78.2%,79.4%,80.7%,83.1%,83.8%,84.2%,92.5%,87.4%,96.2%,89.4%,96.5%
灰狼,44.9%,47.1%,45.8%,50.1%,58.0%,56.3%,63.2%,66.3%,66.5%,72.4%,81.5%,76.6%,84.1%,89.4%,83.1%,82.8%,75.0%,49.0%,84.7%,55.4%,73.5%,84.4%,98.0%,50.2%,59.6%,90.6%,80.3%,64.6%,87.5%,87.1%,74.1%,90.8%,93.2%,95.5%,42.9%,36.6%,42.4%,42.9%,42.6%,49.9%,-,58.1%,62.2%,66.1%,68.2%,79.7%,95.6%,92.7%,13.5%,72.6%,81.7%,74.7%,83.6%,79.5%,82.1%,81.8%,86.1%,87.2%,85.7%,95.3%,89.2%,97.3%,90.2%,97.4%
狼獾,39.3%,42.0%,41.1%,45.6%,50.4%,50.8%,58.9%,61.7%,64.1%,68.1%,80.5%,73.8%,81.2%,88.1%,80.2%,81.6%,72.2%,40.3%,87.3%,43.4%,69.6%,83.0%,98.1%,44.9%,56.0%,90.3%,80.2%,60.1%,86.6%,84.6%,70.9%,92.4%,93.5%,95.5%,38.5%,31.4%,36.8%,37.0%,39.1%,43.6%,41.9%,-,56.2%,61.5%,66.8%,77.3%,95.8%,93.6%,10.6%,69.1%,80.7%,72.3%,80.1%,78.8%,79.8%,79.7%,84.3%,85.5%,85.7%,95.6%,88.7%,97.0%,89.8%,97.5%
麝牛,34.3%,40.7%,37.3%,42.4%,44.3%,44.7%,54.7%,54.1%,59.9%,62.8%,68.9%,71.2%,78.6%,82.3%,77.7%,78.5%,64.9%,38.6%,69.7%,40.8%,62.9%,80.2%,96.7%,40.6%,51.2%,86.0%,67.5%,53.3%,82.8%,81.7%,66.0%,84.8%,89.3%,93.5%,37.0%,29.1%,35.5%,33.6%,37.0%,40.1%,37.8%,43.8%,-,53.2%,61.0%,75.5%,91.8%,88.3%,11.2%,64.0%,69.8%,65.3%,75.2%,71.7%,74.5%,76.2%,80.3%,81.0%,80.2%,91.0%,84.4%,96.2%,87.6%,96.3%
長頸鹿,30.9%,36.9%,33.6%,40.0%,39.5%,41.9%,50.6%,50.6%,56.9%,60.2%,66.6%,66.8%,76.8%,80.6%,76.7%,77.9%,62.9%,33.2%,69.1%,35.4%,58.8%,78.3%,96.1%,36.3%,47.6%,84.6%,66.6%,48.9%,80.6%,79.9%,62.6%,83.3%,87.7%,92.4%,34.1%,26.3%,31.9%,28.3%,34.3%,35.9%,33.9%,38.5%,46.8%,-,58.0%,73.4%,89.4%,87.0%,8.0%,59.5%,67.3%,62.5%,71.8%,70.0%,71.8%,74.0%,76.3%,79.1%,78.8%,89.3%,83.8%,94.6%,86.3%,95.7%
蟒蛇,30.3%,32.0%,31.1%,34.4%,35.5%,36.5%,42.5%,42.3%,47.2%,48.7%,51.2%,56.0%,64.0%,66.0%,69.7%,72.2%,51.4%,31.8%,52.2%,33.7%,48.4%,66.5%,83.3%,34.1%,40.9%,70.6%,52.1%,41.3%,71.0%,66.6%,52.9%,65.7%,70.6%,83.1%,30.6%,26.1%,29.5%,25.3%,31.4%,33.2%,31.8%,33.2%,39.0%,42.0%,-,63.7%,72.6%,71.9%,12.0%,47.5%,51.3%,52.1%,55.5%,59.0%,59.2%,62.1%,62.6%,64.5%,67.0%,72.6%,72.7%,80.1%,78.1%,88.4%
人,18.9%,24.4%,19.3%,25.1%,22.5%,22.1%,27.3%,26.7%,30.9%,32.4%,33.5%,43.1%,47.4%,45.7%,58.2%,62.6%,34.4%,20.0%,33.3%,21.5%,30.7%,52.8%,66.3%,21.4%,25.3%,53.2%,33.2%,26.2%,54.7%,51.4%,35.1%,43.7%,45.9%,68.1%,21.0%,16.1%,20.0%,17.4%,21.6%,20.9%,20.4%,22.7%,24.5%,26.6%,36.3%,-,49.8%,52.3%,7.5%,31.3%,33.0%,34.5%,35.0%,41.4%,40.3%,43.7%,41.3%,46.2%,51.5%,50.5%,58.9%,62.4%,66.5%,75.8%
鵜鶘,4.3%,14.5%,6.5%,17.0%,5.3%,7.8%,14.9%,12.4%,21.1%,21.1%,17.0%,36.7%,50.3%,40.6%,59.5%,62.6%,23.9%,4.2%,12.0%,3.3%,18.1%,56.3%,77.0%,8.4%,13.0%,52.6%,18.5%,9.8%,52.7%,48.5%,26.6%,37.0%,45.1%,75.3%,12.5%,3.8%,8.9%,3.4%,12.5%,7.5%,4.4%,4.2%,8.2%,10.6%,27.4%,50.2%,-,51.9%,0.9%,20.2%,16.8%,23.9%,24.9%,33.3%,32.5%,43.1%,37.5%,45.1%,49.3%,50.1%,61.4%,72.4%,69.2%,84.2%
丹頂鶴,6.7%,14.9%,8.7%,17.0%,8.0%,10.7%,16.5%,15.0%,22.6%,22.8%,19.7%,36.1%,46.2%,40.6%,57.2%,61.7%,25.7%,5.8%,17.2%,5.3%,19.7%,50.4%,71.7%,10.3%,15.4%,51.6%,20.8%,13.3%,52.8%,46.8%,28.0%,38.6%,44.2%,71.7%,14.1%,5.3%,10.1%,4.8%,13.2%,9.5%,7.3%,6.4%,11.7%,13.0%,28.1%,47.7%,48.1%,-,1.2%,21.0%,19.5%,25.3%,26.4%,34.4%,34.1%,41.9%,37.0%,43.5%,47.8%,49.2%,59.0%,67.4%,67.1%,81.7%
虎鯨,82.3%,72.6%,79.4%,75.2%,88.7%,86.3%,88.1%,90.6%,87.5%,92.0%,96.2%,92.8%,94.2%,97.2%,93.5%,92.9%,93.2%,87.6%,97.9%,91.5%,93.8%,94.3%,99.5%,82.7%,86.3%,97.6%,96.3%,92.5%,96.4%,96.1%,92.1%,98.3%,97.8%,98.5%,70.0%,74.8%,73.4%,79.2%,70.6%,83.2%,86.5%,89.4%,88.8%,92.0%,88.0%,92.5%,99.2%,98.8%,-,91.8%,96.4%,93.7%,95.3%,94.3%,95.3%,94.0%,96.2%,96.1%,95.6%,99.1%,96.1%,99.3%,96.8%,99.0%
鴕鳥,25.6%,30.8%,27.6%,35.1%,32.8%,34.1%,42.0%,41.7%,48.5%,51.0%,53.0%,60.7%,71.8%,70.8%,73.0%,74.5%,55.1%,27.1%,53.9%,27.3%,48.9%,74.5%,92.3%,30.7%,38.8%,76.0%,54.6%,39.0%,73.6%,72.3%,54.4%,70.7%,76.8%,88.5%,29.3%,21.1%,27.0%,24.8%,29.0%,28.8%,27.4%,30.9%,36.0%,40.5%,52.5%,68.7%,79.8%,79.0%,8.2%,-,52.9%,53.3%,59.1%,61.1%,62.7%,67.3%,67.8%,70.4%,70.9%,80.1%,79.5%,90.1%,81.9%,93.3%
雪豹,17.7%,25.7%,22.0%,28.4%,21.0%,27.0%,37.2%,34.4%,46.0%,46.6%,49.4%,57.8%,69.4%,69.9%,69.3%,71.6%,49.1%,16.9%,50.0%,14.6%,44.0%,72.7%,93.7%,23.5%,34.2%,77.7%,50.4%,31.9%,73.9%,72.0%,51.7%,73.5%,81.2%,90.1%,24.2%,14.0%,21.9%,14.7%,24.1%,23.0%,18.3%,19.3%,30.2%,32.7%,48.7%,67.0%,83.2%,80.5%,3.6%,47.1%,-,49.9%,58.9%,59.7%,61.4%,66.0%,69.2%,69.8%,70.6%,83.7%,78.8%,92.2%,81.6%,94.3%
白頭海鵰,23.5%,29.0%,24.8%,31.2%,29.4%,31.1%,38.7%,37.6%,45.5%,45.7%,49.6%,56.6%,66.7%,67.1%,71.2%,72.8%,49.4%,23.8%,50.0%,26.4%,46.1%,70.2%,88.8%,28.0%,36.5%,73.3%,50.4%,36.2%,71.9%,68.7%,51.1%,68.6%,72.9%,85.6%,27.5%,18.9%,25.4%,20.2%,27.7%,26.5%,25.3%,27.7%,34.7%,37.5%,47.9%,65.5%,76.1%,74.7%,6.3%,46.7%,50.2%,-,55.1%,57.6%,58.4%,64.1%,64.0%,67.3%,68.8%,75.8%,75.6%,86.0%,79.9%,91.4%
電鰻,16.6%,26.6%,18.0%,28.5%,20.6%,22.4%,33.1%,30.6%,39.8%,43.2%,41.1%,53.3%,68.2%,63.6%,69.1%,71.3%,43.5%,16.5%,37.8%,16.6%,38.2%,71.1%,91.1%,21.2%,28.8%,71.3%,42.1%,26.6%,68.7%,66.4%,47.1%,63.7%,70.8%,87.5%,23.9%,12.9%,20.5%,16.2%,23.8%,20.7%,16.4%,19.9%,24.8%,28.2%,44.5%,65.0%,75.1%,73.6%,4.7%,40.9%,41.1%,44.9%,-,53.0%,55.5%,63.6%,61.4%,66.1%,64.9%,76.5%,75.7%,89.5%,78.0%,91.9%
雪鴞,18.4%,24.1%,20.8%,26.6%,22.6%,24.5%,32.6%,31.3%,37.9%,38.5%,40.2%,49.8%,57.6%,58.0%,64.5%,68.3%,41.9%,19.2%,40.3%,19.7%,37.5%,62.0%,81.1%,23.5%,30.2%,65.9%,41.5%,28.5%,64.1%,61.5%,43.3%,57.2%,62.5%,79.8%,22.9%,15.5%,21.4%,15.5%,22.4%,21.8%,20.5%,21.2%,28.3%,30.0%,41.0%,58.6%,66.7%,65.6%,5.7%,38.9%,40.3%,42.4%,47.0%,-,50.7%,55.0%,55.5%,58.1%,61.2%,65.7%,68.5%,77.3%,74.3%,86.4%
乳牛,16.7%,24.0%,19.1%,26.8%,20.3%,23.1%,31.0%,28.8%,36.5%,37.1%,37.5%,49.5%,60.8%,56.5%,66.6%,68.6%,41.6%,18.0%,38.2%,16.9%,36.0%,65.2%,84.3%,21.0%,28.9%,65.7%,38.3%,26.9%,64.1%,61.7%,41.7%,57.0%,62.5%,82.1%,22.3%,13.4%,19.2%,14.9%,22.4%,20.6%,17.9%,20.2%,25.5%,28.2%,40.8%,59.7%,67.5%,65.9%,4.7%,37.3%,38.6%,41.6%,44.5%,49.3%,-,55.7%,54.8%,59.7%,61.2%,66.2%,70.7%,80.9%,75.4%,89.0%
